,Symbol,Sector,PER,ROA,ROE,REC,EPS
241,HII,Industrials,14.416454,0.03559,0.12559,hold,15.68
242,IBM,Technology,21.904808,0.044689998,0.21851,buy,10.61
243,IEX,Industrials,20.305162,0.06996,0.13758,buy,8.52
244,IDXX,Healthcare,36.575253,0.22694999,0.57657003,buy,11.96
245,ITW,Industrials,22.383179,0.17541,1.1020501,hold,10.7
246,INCY,Healthcare,9.6351795,0.00863,0.0075499997,buy,6.14
247,IR,Industrials,21.180792,0.05415,0.08424,buy,3.54
248,PODD,Healthcare,67.36693,0.06803,0.43028,buy,3.87
249,INTC,Technology,20.670101,-0.01092,-0.18127,hold,0.97
250,ICE,Financial Services,24.218102,0.020079998,0.10474,buy,6.74
251,IFF,Basic Materials,16.53796,0.015149999,0.0173,buy,4.61
252,IP,Consumer Cyclical,15.783333,0.02627,0.0674,buy,3.0
253,IPG,Communication Services,8.930909,0.051220004,0.13577,buy,2.75
254,INTU,Technology,28.075573,0.08257,0.17424999,buy,22.23
255,ISRG,Healthcare,65.46947,0.08841,0.15958,buy,7.86
256,IVZ,Financial Services,7.3703704,0.02306,0.04764,hold,1.89
257,INVH,Real Estate,45.648647,0.02352,0.04558,buy,0.74
258,IQV,Healthcare,12.450705,0.05317,0.22547,buy,12.07
259,IRM,Real Estate,44.7551,0.041890003,2.25057,buy,1.96
260,JBHT,Industrials,18.068245,0.061100002,0.13971,buy,7.18
261,JBL,Technology,14.677322,0.0461,0.24104,buy,10.01
262,JKHY,Technology,27.045885,0.112959996,0.21903,hold,6.32
263,J,Industrials,18.281202,0.04547,0.0817,buy,6.65
264,JNJ,Healthcare,14.583018,0.07735,0.29447,buy,10.6
265,JCI,Industrials,19.348448,0.03691,0.08182,buy,4.19
266,JPM,Financial Services,14.548985,0.01413,0.17352,buy,16.74
267,JNPR,Technology,17.979797,0.02329,0.062069997,none,1.98
268,K,Consumer Defensive,68.85,0.08288,0.37402,hold,1.2
269,KVUE,Consumer Defensive,18.860655,0.06882,0.09866,hold,1.22
270,KDP,Consumer Defensive,16.780489,0.04058,0.06126,buy,2.05
271,KEY,Financial Services,9.435898,0.00013,0.0014300001,buy,1.56
272,KEYS,Technology,20.661406,0.05746,0.122150004,buy,6.97
273,KMB,Consumer Defensive,17.249018,0.115430005,2.0706,hold,7.63
274,KIM,Real Estate,29.07143,0.021300001,0.04078,buy,0.7
275,KMI,Energy,21.309525,0.03728,0.0845,buy,1.26
276,KKR,Financial Services,18.719933,0.01449,0.081520006,buy,6.07
277,KLAC,Technology,21.164228,0.17688999,0.96809,buy,32.82
278,KHC,Consumer Defensive,9.605864,0.03862,0.05545,hold,3.07
279,KR,Consumer Defensive,15.283843,0.056339998,0.26879,buy,4.58
280,LHX,Industrials,15.015983,0.04059,0.085209996,buy,14.39
281,LH,Healthcare,14.25156,0.04052,0.09364,strong_buy,16.02
282,LRCX,Technology,16.725994,0.17291,0.53138,buy,4.27
283,LW,Consumer Defensive,10.429719,0.07366,0.2164,buy,4.98
284,LVS,Consumer Cyclical,13.050909,Unknown,Unknown,buy,2.75
285,LDOS,Technology,13.943542,0.08794,0.28699,buy,10.45
286,LEN,Consumer Cyclical,6.6685257,0.08224,0.15213999,buy,16.14
287,LII,Industrials,22.573202,0.19844,1.3148301,hold,23.36
288,LLY,Healthcare,39.035305,0.15329,0.84264,buy,22.66
289,LIN,Basic Materials,26.454275,0.06903,0.16721001,buy,16.95
290,LYV,Communication Services,54.8595,0.0403,0.67384005,buy,2.42
291,LKQ,Consumer Cyclical,10.334254,0.053600002,0.113900006,buy,3.62
292,LMT,Industrials,16.991817,0.0832,0.82547,buy,28.11
293,L,Financial Services,29.403446,0.01751,0.0867,none,2.9
294,LOW,Consumer Cyclical,17.490894,0.1567,Unknown,buy,12.63
295,LULU,Consumer Cyclical,17.943737,0.21314,0.42417,buy,14.93
296,LYB,Basic Materials,6.9036007,0.03849,0.07437,hold,8.61
297,MTB,Financial Services,10.28194,0.012410001,0.09405,buy,16.28
298,MPC,Energy,13.47451,0.04366,0.18127,buy,10.2
299,MKTX,Financial Services,26.609964,0.111999996,0.20448999,buy,8.23
300,MAR,Consumer Cyclical,22.283018,0.09340999,Unknown,buy,10.6
301,MMC,Financial Services,23.249205,0.07929,0.30532,hold,9.43
302,MLM,Basic Materials,24.205374,0.055710003,0.22822,buy,20.84
303,MAS,Industrials,13.6696825,0.16038999,11.165561,buy,4.42
304,MA,Financial Services,32.56899,0.22715999,1.90557,buy,16.38
305,MTCH,Communication Services,12.125,0.11895,Unknown,buy,2.48
306,MKC,Consumer Defensive,23.891027,0.05165,0.14659001,hold,3.12
307,MCD,Consumer Cyclical,25.11816,0.13307,Unknown,buy,12.61
308,MCK,Healthcare,18.880737,0.05243,Unknown,buy,36.81
309,MDT,Healthcare,14.386326,0.04656,0.08442,buy,5.85
310,MRK,Healthcare,8.802128,Unknown,Unknown,buy,9.4
311,META,Communication Services,21.631227,0.16863,0.37140998,strong_buy,25.3
312,MET,Financial Services,7.7595463,0.00508,0.15336001,buy,9.69
313,MTD,Healthcare,24.92465,0.21506001,Unknown,hold,42.6
314,MGM,Consumer Cyclical,13.769566,0.02456,0.26327,buy,2.3
315,MCHP,Technology,18.034616,0.025209999,0.0471,buy,2.6
316,MU,Technology,6.198912,0.055219997,0.101009995,strong_buy,12.87
317,MSFT,Technology,26.210703,0.14649001,0.34291,strong_buy,14.95
318,MAA,Real Estate,38.40482,0.03524,0.08731,buy,4.15
319,MRNA,Healthcare,-3.1287355,-0.15141,-0.2877,hold,-8.7
320,MHK,Consumer Cyclical,9.584754,0.03829,0.06819,buy,11.15
321,MOH,Healthcare,12.232985,0.06728,0.26718,buy,25.71
322,TAP,Consumer Defensive,9.578415,0.043169998,0.08611,hold,5.93
323,MDLZ,Consumer Defensive,19.122448,0.05756,0.16712,buy,3.43
324,MPWR,Technology,33.976715,0.11141,0.68776,buy,17.18
325,MNST,Consumer Defensive,31.37433,0.14774999,0.21274,buy,1.87
326,MCO,Financial Services,32.92943,0.12687999,0.55498004,buy,13.32
327,MS,Financial Services,14.629256,Unknown,Unknown,hold,7.93
328,MOS,Basic Materials,11.841463,0.016900001,0.0168,buy,2.46
329,MSI,Technology,29.28659,0.12674,1.28723,buy,14.69
330,MSCI,Financial Services,31.417837,0.18135999,Unknown,buy,17.04
331,NDAQ,Financial Services,24.0,0.04393,0.11415,buy,3.14
332,NTAP,Technology,11.668865,0.09519,1.14329,hold,7.58
333,NFLX,Communication Services,46.321697,0.13789,0.40842,buy,23.78
334,NEM,Basic Materials,14.08355,0.07857,0.1666,buy,3.83
335,NWSA,Communication Services,25.59434,0.03433,0.0619,none,1.06
336,NWS,Communication Services,31.074627,0.03433,0.0619,none,Unknow
337,NEE,Utilities,17.959238,0.02557,0.07056,buy,3.68
338,NKE,Consumer Cyclical,17.839008,0.08262,0.31934,buy,3.23
339,NI,Utilities,21.209677,0.02885,0.081199996,buy,1.86
340,NDSN,Industrials,18.080692,0.07441,0.16153999,buy,10.41
341,NSC,Industrials,16.326216,0.067379996,0.24542,buy,13.58
342,NTRS,Financial Services,11.988219,0.01375,0.17681,hold,7.64
343,NOC,Industrials,16.863863,0.06404,0.25412,buy,28.06
344,NCLH,Consumer Cyclical,8.2440195,0.04642,1.05461,buy,2.09
345,NRG,Utilities,15.7,0.05698,0.4179,buy,6.9
346,NUE,Basic Materials,12.363249,0.05375,0.106520005,buy,9.36
347,NVDA,Technology,26.944176,0.57417,1.1917701,strong_buy,4.12
348,NVR,Consumer Cyclical,13.650072,0.20363002,0.38251,hold,518.05
349,NXPI,Technology,14.8087225,0.09043,0.27493998,buy,13.07
350,ORLY,Consumer Cyclical,29.973299,0.13728,Unknown,buy,44.94
351,OXY,Energy,12.772152,0.04123,0.08934,hold,3.16
352,ODFL,Industrials,24.871187,0.16778,0.26593,hold,5.9
353,OMC,Communication Services,8.671296,0.051999997,0.31022,buy,8.64
354,ON,Technology,9.173611,0.0874,0.18954,buy,4.32
355,OKE,Energy,14.457287,0.05841,0.16117,buy,5.97
356,ORCL,Technology,19.34218,0.073460005,1.03741,buy,7.16
357,OTIS,Industrials,22.178997,0.13961,Unknown,hold,4.19
358,PCAR,Industrials,11.841495,0.07408,0.24933,hold,7.76
359,PKG,Consumer Cyclical,16.443062,Unknown,Unknown,buy,11.24
360,PLTR,Technology,239.95744,0.035720002,0.10812,hold,0.47
361,PANW,Technology,24.858334,0.0357,0.23378,buy,7.2
362,PARA,Communication Services,7.1963186,0.03165,-0.30945,hold,1.63
363,PH,Industrials,20.313179,0.08776,0.25852,buy,29.44
364,PAYX,Technology,27.071835,0.11643,0.44254002,hold,5.29
365,PAYC,Technology,26.100918,0.064229995,0.34874,hold,8.72
366,PYPL,Financial Services,13.361963,0.04299,0.20001,buy,4.89
367,PNR,Industrials,18.556702,0.08545999,0.1859,buy,4.85
368,PEP,Consumer Defensive,15.455388,0.08858,0.49927,hold,8.63
369,PFE,Healthcare,7.8225255,0.0464,0.09057,buy,2.93
370,PCG,Utilities,11.58108,0.024260001,0.08257,buy,1.48
371,PM,Consumer Defensive,23.644445,0.13685,Unknown,buy,7.2
372,PSX,Energy,10.955743,0.009509999,0.0656,buy,9.49
373,PNW,Utilities,20.032051,0.02612,0.09527001,buy,4.68
374,PNC,Financial Services,10.556962,0.0109,0.11334,buy,15.01
375,POOL,Industrials,24.238571,0.098050006,0.31651,buy,12.03
376,PPG,Basic Materials,11.58983,0.068280004,0.18378,buy,8.85
377,PPL,Utilities,19.633879,0.02806,0.06341,buy,1.83
378,PFG,Financial Services,8.703792,0.0038800002,0.14091,hold,8.44
379,PG,Consumer Defensive,21.70081,0.11018,0.30294,buy,7.42
380,PGR,Financial Services,19.203623,0.06865,0.34338,buy,13.8
381,PLD,Real Estate,29.045454,0.023759998,0.06829,buy,3.52
382,PRU,Financial Services,7.0047655,0.00275,0.09486,hold,14.69
383,PEG,Utilities,19.90909,0.02885,0.11218,buy,4.07
384,PTC,Technology,22.004286,0.059359998,0.12994,buy,7.0
385,PSA,Real Estate,27.366886,0.06968,0.20927,buy,10.63
386,PHM,Consumer Cyclical,7.5466666,0.13892001,0.25522,buy,13.5
387,PWR,Industrials,28.281496,0.04664,0.13623,buy,10.16
388,QCOM,Technology,12.14718,0.12626,0.41968,buy,12.23
389,DGX,Healthcare,17.803278,0.06126,0.13951999,buy,9.76
390,RL,Consumer Cyclical,16.894009,0.07935,0.27571,buy,13.02
391,RJF,Financial Services,12.331238,Unknown,Unknown,buy,11.14
392,RTX,Industrials,20.494272,0.03471,0.07802,buy,6.11
393,O,Real Estate,35.779873,0.02299,0.02404,hold,1.59
394,REG,Real Estate,34.009525,0.02859,0.05817,buy,2.1
395,REGN,Healthcare,13.300375,0.07314,0.15951,buy,45.31
396,RF,Financial Services,8.973452,0.0128,0.11306,buy,2.26
397,RSG,Industrials,35.765053,0.06395,0.18545,buy,6.81
398,RMD,Healthcare,22.923227,0.14012,0.25811002,buy,10.29
399,RVTY,Healthcare,18.273256,0.01973,0.036429998,buy,5.16
400,ROK,Industrials,21.78772,0.07114,0.24847999,buy,11.4
401,ROL,Consumer Cyclical,49.38393,0.14879,0.37827,hold,1.12
402,ROP,Technology,27.857143,0.041950002,0.08533,buy,20.02
403,ROST,Consumer Cyclical,20.88341,0.11066,0.40282002,buy,6.69
404,RCL,Consumer Cyclical,14.83345,0.07129,0.45828998,buy,14.29
405,SPGI,Financial Services,28.554432,0.059949998,0.11023,strong_buy,16.81
406,CRM,Technology,24.065588,0.047259998,0.10258,buy,11.13
407,SBAC,Real Estate,24.219193,0.08826999,Unknown,buy,9.17
408,SLB,Energy,9.405994,0.08125,0.20201,buy,3.67
409,STX,Technology,8.525773,0.112110004,Unknown,buy,9.7
410,SRE,Utilities,14.529183,0.01951,0.097950004,buy,5.14
411,NOW,Technology,56.602394,0.049200002,0.16858,buy,16.7
412,SHW,Basic Materials,25.948357,0.101289995,0.69045997,buy,12.78
413,SPG,Real Estate,23.106195,0.05797,0.74901,buy,6.78
414,SWKS,Technology,9.6125,0.05251,0.08342,hold,6.4
415,SJM,Consumer Defensive,10.943021,0.0552,-0.03549,hold,10.53
416,SW,Consumer Cyclical,11.698061,0.0298,0.02708,buy,3.61
417,SNA,Industrials,15.345924,0.10828,0.19538,hold,20.12
418,SOLV,Healthcare,11.947558,0.048060004,0.0655,hold,5.53
419,SO,Utilities,20.932869,0.03373,0.1185,hold,4.32
420,LUV,Industrials,16.660378,0.009330001,0.05593,hold,1.59
421,SWK,Industrials,11.216759,0.0276,0.03221,hold,5.49
422,SBUX,Consumer Cyclical,22.52957,0.09776,Unknown,buy,3.72
423,STT,Financial Services,9.35546,0.0080699995,0.1122,buy,9.34
424,STLD,Basic Materials,12.683267,0.05924,0.13199,buy,10.04
425,STE,Healthcare,22.567703,0.05589,0.096140005,buy,9.97
426,SYK,Healthcare,26.981524,0.07474,0.1526,buy,13.53
427,SMCI,Technology,8.601416,0.12758,0.31015,hold,4.24
428,SYF,Financial Services,7.9474497,0.02437,0.18597999,buy,6.47
429,SNPS,Technology,30.03497,0.06647,0.15951,strong_buy,14.87
430,SYY,Consumer Defensive,14.416666,0.088520005,0.86513,buy,4.92
431,TMUS,Communication Services,21.81537,0.055999998,0.19351,buy,10.67
432,TROW,Financial Services,9.458823,0.11412,0.19646999,hold,9.35
433,TTWO,Communication Services,28.74745,-0.02478,-0.51451,buy,7.84
434,TPR,Consumer Cyclical,14.470587,0.07958,0.39821997,buy,4.76
435,TRGP,Energy,21.503632,0.07762,0.34414002,strong_buy,8.26
436,TGT,Consumer Defensive,9.189343,0.06341,0.2912,buy,10.51
437,TEL,Technology,16.058954,0.081140004,0.1122,buy,8.99
438,TDY,Technology,21.369991,0.04537,0.086210005,buy,21.46
439,TER,Technology,18.145884,0.09519,0.20294,buy,4.25
440,TSLA,Consumer Cyclical,87.94753,0.03724,0.087740004,hold,3.24
441,TXN,Technology,27.697279,0.10041001,0.29189,buy,5.88
442,TPL,Energy,18.252598,0.28298,0.41731,none,73.12
443,TXT,Industrials,10.211941,0.04261,0.11699,buy,6.7
444,TMO,Healthcare,18.060452,0.05,0.13704,buy,23.49
445,TJX,Consumer Cyclical,27.513044,0.12810001,0.61982,buy,4.6
446,TKO,Communication Services,48.487656,0.01393,0.00072999997,strong_buy,3.24
447,TSCO,Consumer Cyclical,4.485175,0.091120005,0.49624002,buy,11.13
448,TT,Industrials,27.507511,0.1095,0.36048,hold,12.65
449,TDG,Industrials,31.695723,0.112320006,Unknown,buy,43.48
450,TRV,Financial Services,12.195765,0.02691,0.16052,hold,21.25
451,TRMB,Technology,20.708054,0.03155,0.29367,buy,2.98
452,TFC,Financial Services,9.536708,0.00016000001,0.0013400001,buy,3.95
453,TYL,Technology,48.443214,0.04473,0.08871,buy,10.83
454,TSN,Consumer Defensive,17.32,0.03482,0.05819,buy,3.5
455,USB,Financial Services,9.219399,0.00988,0.11526,buy,4.33
456,UBER,Technology,32.944916,0.038900003,0.56004,buy,2.36
457,UDR,Real Estate,87.87234,0.01747,0.02037,buy,0.47
458,ULTA,Consumer Cyclical,16.776125,0.16707,0.50386,buy,22.87
459,UNP,Industrials,17.612717,0.08991,0.42468,buy,12.11
460,UAL,Industrials,5.6410255,0.04824,0.33571997,buy,12.09
461,UPS,Industrials,11.113507,0.07106,0.33955002,buy,8.81
462,URI,Industrials,13.521126,0.09315,0.30173,buy,46.86
463,UNH,Healthcare,14.001338,0.07044,0.22700001,strong_buy,29.9
464,UHS,Healthcare,9.453744,0.07407,0.17943001,buy,18.16
465,VLO,Energy,11.800001,0.02456,0.03714,buy,9.65
466,VTR,Real Estate,426.00003,0.017970001,0.00842,buy,0.16
467,VLTO,Industrials,24.616,0.124910004,0.48514998,buy,3.75
468,VRSN,Technology,31.536419,0.42139,Unknown,buy,8.65
469,VRSK,Industrials,39.23868,0.18275,4.45084,hold,7.29
470,VZ,Communication Services,8.860465,0.05152,0.18416001,buy,4.73
471,VRTX,Healthcare,26.310068,0.12683,-0.031519998,buy,18.77
472,VTRS,Healthcare,3.0449438,0.02487,-0.03244,hold,2.67
473,VICI,Real Estate,11.802198,0.049489997,0.10345,buy,2.73
474,V,Financial Services,26.474726,0.16712,0.51191,buy,12.66
475,VST,Utilities,18.353622,0.072119996,0.51573,buy,6.9
476,VMC,Basic Materials,27.207048,0.056009997,0.11766,buy,9.08
477,WRB,Financial Services,16.2023,Unknown,Unknown,buy,4.35
478,GWW,Industrials,24.076704,0.19674999,0.55683,hold,42.11
479,WAB,Industrials,21.67609,0.05728,0.106800005,buy,8.49
480,WBA,Healthcare,7.489796,-0.00587,-0.66207004,hold,1.47
481,WMT,Consumer Defensive,34.959557,0.07124,0.21414,buy,2.72
482,DIS,Communication Services,17.530096,0.04251,0.05905,buy,5.15
483,WBD,Communication Services,-66.07693,0.00349,-0.28208,buy,-0.13
484,WM,Industrials,28.291203,0.0696,0.36238,buy,8.07
485,WAT,Healthcare,26.132252,0.114029996,0.42824,buy,12.93
486,WEC,Utilities,20.637932,0.02849,0.12247,buy,5.22
487,WFC,Financial Services,12.701276,0.01031,0.11021,buy,5.49
488,WELL,Real Estate,80.74725,0.01687,0.033010002,buy,1.82
489,WST,Healthcare,28.530586,0.1033,0.17421,strong_buy,7.52
490,WDC,Technology,4.6288304,0.06177,0.10829,buy,8.81
491,WY,Real Estate,28.848837,0.02419,0.03706,buy,0.86
492,WSM,Consumer Cyclical,18.596556,0.16951,0.52702,hold,8.13
493,WMB,Energy,28.24402,0.03937,0.15782,buy,2.09
494,WTW,Financial Services,16.70481,0.04535,-0.00484,buy,18.09
495,WDAY,Technology,28.859035,0.01812,0.06146,buy,8.3
496,WYNN,Consumer Cyclical,16.356573,0.05353,Unknown,buy,5.02
497,XEL,Utilities,18.015667,0.02172,0.102589995,buy,3.83
498,XYL,Industrials,24.442104,0.04298,0.08453,buy,4.75
499,YUM,Consumer Cyclical,24.226974,0.24493,Unknown,hold,6.08
500,ZBRA,Technology,15.351621,0.06261,0.15946999,buy,16.04
501,ZBH,Healthcare,11.803488,0.046490002,0.07253,hold,8.6
502,ZTS,Healthcare,24.206625,0.1487,0.51142,buy,6.34
